id,utcDate,status,stage,group,lastUpdated,referees,competition.name,season.currentMatchday,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away
537327,2026-06-11T19:00:00Z,FINISHED,GROUP_STAGE,GROUP_A,2026-06-13T15:20:17Z,"[{'id': 11412, 'name': 'Wilton Sampaio', 'type': 'REFEREE', 'nationality': 'Brazil'}]",FIFA World Cup,1,769.0,Mexico,Mexico,MEX,774.0,South Africa,South Africa,RSA,HOME_TEAM,REGULAR,2.0,0.0,1.0,0.0
537328,2026-06-12T02:00:00Z,FINISHED,GROUP_STAGE,GROUP_A,2026-06-13T15:20:17Z,"[{'id': 276653, 'name': 'Amin Omar', 'type': 'REFEREE', 'nationality': 'Egypt'}]",FIFA World Cup,1,772.0,South Korea,Korea Republic,KOR,798.0,Czechia,Czechia,CZE,HOME_TEAM,REGULAR,2.0,1.0,0.0,0.0
537333,2026-06-12T19:00:00Z,FINISHED,GROUP_STAGE,GROUP_B,2026-06-13T15:20:17Z,"[{'id': 57301, 'name': 'Facundo Tello', 'type': 'REFEREE', 'nationality': 'Argentina'}]",FIFA World Cup,1,828.0,Canada,Canada,CAN,1060.0,Bosnia-Herzegovina,Bosnia-H.,BIH,DRAW,REGULAR,1.0,1.0,0.0,1.0
537345,2026-06-13T01:00:00Z,FINISHED,GROUP_STAGE,GROUP_D,2026-06-13T15:20:17Z,"[{'id': 43899, 'name': 'Danny Makkelie', 'type': 'REFEREE', 'nationality': 'Netherlands'}]",FIFA World Cup,1,771.0,United States,USA,USA,761.0,Paraguay,Paraguay,PAR,HOME_TEAM,REGULAR,4.0,1.0,3.0,0.0
537334,2026-06-13T19:00:00Z,FINISHED,GROUP_STAGE,GROUP_B,2026-06-13T23:07:33Z,"[{'id': 190002, 'name': 'Said Martinez', 'type': 'REFEREE', 'nationality': 'Honduras'}]",FIFA World Cup,1,8030.0,Qatar,Qatar,QAT,788.0,Switzerland,Switzerland,SUI,DRAW,REGULAR,1.0,1.0,0.0,1.0
537339,2026-06-13T22:00:00Z,FINISHED,GROUP_STAGE,GROUP_C,2026-06-14T00:10:33Z,"[{'id': 9351, 'name': 'Slavko Vinčič', 'type': 'REFEREE', 'nationality': 'Slovenia'}]",FIFA World Cup,1,764.0,Brazil,Brazil,BRA,815.0,Morocco,Morocco,MAR,DRAW,REGULAR,1.0,1.0,1.0,1.0
537340,2026-06-14T01:00:00Z,FINISHED,GROUP_STAGE,GROUP_C,2026-06-14T03:09:14Z,"[{'id': 190017, 'name': 'Mustapha Ghorbal', 'type': 'REFEREE', 'nationality': None}]",FIFA World Cup,1,836.0,Haiti,Haiti,HAI,8873.0,Scotland,Scotland,SCO,AWAY_TEAM,REGULAR,0.0,1.0,0.0,1.0
537346,2026-06-14T04:00:00Z,FINISHED,GROUP_STAGE,GROUP_D,2026-06-14T06:03:26Z,"[{'id': 28805, 'name': 'Jesús Valenzuela', 'type': 'REFEREE', 'nationality': 'Venezuela'}]",FIFA World Cup,1,779.0,Australia,Australia,AUS,803.0,Turkey,Turkey,TUR,HOME_TEAM,REGULAR,2.0,0.0,1.0,0.0
537351,2026-06-14T17:00:00Z,FINISHED,GROUP_STAGE,GROUP_E,2026-06-15T08:25:00Z,"[{'id': 289426, 'name': 'Jalal Jayed', 'type': 'REFEREE', 'nationality': 'Morocco'}]",FIFA World Cup,1,759.0,Germany,Germany,GER,9460.0,Curaçao,Curaçao,CUW,HOME_TEAM,REGULAR,7.0,1.0,3.0,1.0
537357,2026-06-14T20:00:00Z,FINISHED,GROUP_STAGE,GROUP_F,2026-06-15T08:25:01Z,"[{'id': 76608, 'name': 'Ismail Elfath', 'type': 'REFEREE', 'nationality': 'United States'}]",FIFA World Cup,1,8601.0,Netherlands,Netherlands,NED,766.0,Japan,Japan,JPN,DRAW,REGULAR,2.0,2.0,0.0,0.0
537352,2026-06-14T23:00:00Z,FINISHED,GROUP_STAGE,GROUP_E,2026-06-15T08:25:01Z,"[{'id': 43918, 'name': 'François Letexier', 'type': 'REFEREE', 'nationality': 'France'}]",FIFA World Cup,1,1935.0,Ivory Coast,Ivory Coast,CIV,791.0,Ecuador,Ecuador,ECU,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0
537358,2026-06-15T02:00:00Z,FINISHED,GROUP_STAGE,GROUP_F,2026-06-15T08:25:01Z,"[{'id': 57435, 'name': 'Yael Falcón', 'type': 'REFEREE', 'nationality': 'Argentina'}]",FIFA World Cup,1,792.0,Sweden,Sweden,SWE,802.0,Tunisia,Tunisia,TUN,HOME_TEAM,REGULAR,5.0,1.0,2.0,1.0
537369,2026-06-15T16:00:00Z,FINISHED,GROUP_STAGE,GROUP_H,2026-06-16T03:25:00Z,"[{'id': 129250, 'name': 'Adham Makhadmeh', 'type': 'REFEREE', 'nationality': 'Jordan'}]",FIFA World Cup,1,760.0,Spain,Spain,ESP,1930.0,Cape Verde Islands,Cape Verde,CPV,DRAW,REGULAR,0.0,0.0,0.0,0.0
537363,2026-06-15T19:00:00Z,FINISHED,GROUP_STAGE,GROUP_G,2026-06-16T03:25:00Z,"[{'id': 18754, 'name': 'Ramon Abatti Abel', 'type': 'REFEREE', 'nationality': 'Brazil'}]",FIFA World Cup,1,805.0,Belgium,Belgium,BEL,825.0,Egypt,Egypt,EGY,DRAW,REGULAR,1.0,1.0,0.0,1.0
537370,2026-06-15T22:00:00Z,FINISHED,GROUP_STAGE,GROUP_H,2026-06-16T03:25:00Z,"[{'id': 11043, 'name': 'Maurizio Mariani', 'type': 'REFEREE', 'nationality': 'Italy'}]",FIFA World Cup,1,801.0,Saudi Arabia,Saudi Arabia,KSA,758.0,Uruguay,Uruguay,URY,DRAW,REGULAR,1.0,1.0,1.0,0.0
537364,2026-06-16T01:00:00Z,FINISHED,GROUP_STAGE,GROUP_G,2026-06-16T03:25:00Z,"[{'id': 56007, 'name': 'César Ramos', 'type': 'REFEREE', 'nationality': 'Mexico'}]",FIFA World Cup,1,840.0,Iran,Iran,IRN,783.0,New Zealand,New Zealand,NZL,DRAW,REGULAR,2.0,2.0,1.0,1.0
537391,2026-06-16T19:00:00Z,FINISHED,GROUP_STAGE,GROUP_I,2026-06-17T08:25:00Z,"[{'id': 55970, 'name': 'Alireza Faghani', 'type': 'REFEREE', 'nationality': 'Iran'}]",FIFA World Cup,1,773.0,France,France,FRA,804.0,Senegal,Senegal,SEN,HOME_TEAM,REGULAR,3.0,1.0,0.0,0.0
537392,2026-06-16T22:00:00Z,FINISHED,GROUP_STAGE,GROUP_I,2026-06-17T08:25:00Z,"[{'id': 276648, 'name': 'Pierre Atcho', 'type': 'REFEREE', 'nationality': 'Gabon'}]",FIFA World Cup,1,8062.0,Iraq,Iraq,IRQ,8872.0,Norway,Norway,NOR,AWAY_TEAM,REGULAR,1.0,4.0,1.0,2.0
537397,2026-06-17T01:00:00Z,FINISHED,GROUP_STAGE,GROUP_J,2026-06-17T08:25:01Z,"[{'id': 43888, 'name': 'Szymon Marciniak', 'type': 'REFEREE', 'nationality': 'Poland'}]",FIFA World Cup,1,762.0,Argentina,Argentina,ARG,778.0,Algeria,Algeria,ALG,HOME_TEAM,REGULAR,3.0,0.0,1.0,0.0
537398,2026-06-17T04:00:00Z,FINISHED,GROUP_STAGE,GROUP_J,2026-06-17T08:25:01Z,"[{'id': 262323, 'name': 'Dahane Beida', 'type': 'REFEREE', 'nationality': 'Mauritania'}]",FIFA World Cup,1,816.0,Austria,Austria,AUT,8049.0,Jordan,Jordan,JOR,HOME_TEAM,REGULAR,3.0,1.0,1.0,0.0
537403,2026-06-17T17:00:00Z,FINISHED,GROUP_STAGE,GROUP_K,2026-06-18T08:25:01Z,"[{'id': 236084, 'name': 'Abdulrahman Al Jassim', 'type': 'REFEREE', 'nationality': 'Qatar'}]",FIFA World Cup,1,765.0,Portugal,Portugal,POR,1934.0,Congo DR,Congo DR,COD,DRAW,REGULAR,1.0,1.0,1.0,1.0
537409,2026-06-17T20:00:00Z,FINISHED,GROUP_STAGE,GROUP_L,2026-06-18T08:25:01Z,"[{'id': 9374, 'name': 'Clément Turpin', 'type': 'REFEREE', 'nationality': 'France'}]",FIFA World Cup,1,770.0,England,England,ENG,799.0,Croatia,Croatia,CRO,HOME_TEAM,REGULAR,4.0,2.0,2.0,2.0
537410,2026-06-17T23:00:00Z,FINISHED,GROUP_STAGE,GROUP_L,2026-06-18T08:25:01Z,"[{'id': 30960, 'name': 'Glenn Nyberg', 'type': 'REFEREE', 'nationality': 'Sweden'}]",FIFA World Cup,1,763.0,Ghana,Ghana,GHA,1836.0,Panama,Panama,PAN,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0
537404,2026-06-18T02:00:00Z,FINISHED,GROUP_STAGE,GROUP_K,2026-06-18T08:25:01Z,"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]",FIFA World Cup,1,8070.0,Uzbekistan,Uzbekistan,UZB,818.0,Colombia,Colombia,COL,AWAY_TEAM,REGULAR,1.0,3.0,0.0,1.0
537329,2026-06-18T16:00:00Z,FINISHED,GROUP_STAGE,GROUP_A,2026-06-19T03:25:00Z,"[{'id': 212450, 'name': 'Tori Penso', 'type': 'REFEREE', 'nationality': 'USA'}]",FIFA World Cup,1,798.0,Czechia,Czechia,CZE,774.0,South Africa,South Africa,RSA,DRAW,REGULAR,1.0,1.0,1.0,0.0
