awayTeam.id,awayTeam.name,awayTeam.tla,group,homeTeam.id,homeTeam.name,homeTeam.tla,referees,score.duration,score.extraTime.away,score.extraTime.home,score.fullTime.away,score.fullTime.home,score.halfTime.away,score.halfTime.home,score.penalties.away,score.penalties.home,score.regularTime.away,score.regularTime.home,score.winner,stage,status,utcDate
774,South Africa,RSA,GROUP_A,769,Mexico,MEX,"[{""id"": 11412, ""name"": ""Wilton Sampaio"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",REGULAR,,,0,2,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-11T19:00:00Z
798,Czechia,CZE,GROUP_A,772,South Korea,KOR,"[{""id"": 276653, ""name"": ""Amin Omar"", ""type"": ""REFEREE"", ""nationality"": ""Egypt""}]",REGULAR,,,1,2,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-12T02:00:00Z
1060,Bosnia-Herzegovina,BIH,GROUP_B,828,Canada,CAN,"[{""id"": 57301, ""name"": ""Facundo Tello"", ""type"": ""REFEREE"", ""nationality"": ""Argentina""}]",REGULAR,,,1,1,1,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-12T19:00:00Z
761,Paraguay,PAR,GROUP_D,771,United States,USA,"[{""id"": 43899, ""name"": ""Danny Makkelie"", ""type"": ""REFEREE"", ""nationality"": ""Netherlands""}]",REGULAR,,,1,4,0,3,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-13T01:00:00Z
788,Switzerland,SUI,GROUP_B,8030,Qatar,QAT,"[{""id"": 190002, ""name"": ""Said Martinez"", ""type"": ""REFEREE"", ""nationality"": ""Honduras""}]",REGULAR,,,1,1,1,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-13T19:00:00Z
815,Morocco,MAR,GROUP_C,764,Brazil,BRA,"[{""id"": 9351, ""name"": ""Slavko Vinčič"", ""type"": ""REFEREE"", ""nationality"": ""Slovenia""}]",REGULAR,,,1,1,1,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-13T22:00:00Z
8873,Scotland,SCO,GROUP_C,836,Haiti,HAI,"[{""id"": 190017, ""name"": ""Mustapha Ghorbal"", ""type"": ""REFEREE"", ""nationality"": null}]",REGULAR,,,1,0,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-14T01:00:00Z
803,Turkey,TUR,GROUP_D,779,Australia,AUS,"[{""id"": 28805, ""name"": ""Jesús Valenzuela"", ""type"": ""REFEREE"", ""nationality"": ""Venezuela""}]",REGULAR,,,0,2,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-14T04:00:00Z
9460,Curaçao,CUW,GROUP_E,759,Germany,GER,"[{""id"": 289426, ""name"": ""Jalal Jayed"", ""type"": ""REFEREE"", ""nationality"": ""Morocco""}]",REGULAR,,,1,7,1,3,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-14T17:00:00Z
766,Japan,JPN,GROUP_F,8601,Netherlands,NED,"[{""id"": 76608, ""name"": ""Ismail Elfath"", ""type"": ""REFEREE"", ""nationality"": ""United States""}]",REGULAR,,,2,2,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-14T20:00:00Z
791,Ecuador,ECU,GROUP_E,1935,Ivory Coast,CIV,"[{""id"": 43918, ""name"": ""François Letexier"", ""type"": ""REFEREE"", ""nationality"": ""France""}]",REGULAR,,,0,1,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-14T23:00:00Z
802,Tunisia,TUN,GROUP_F,792,Sweden,SWE,"[{""id"": 57435, ""name"": ""Yael Falcón"", ""type"": ""REFEREE"", ""nationality"": ""Argentina""}]",REGULAR,,,1,5,1,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-15T02:00:00Z
1930,Cape Verde Islands,CPV,GROUP_H,760,Spain,ESP,"[{""id"": 129250, ""name"": ""Adham Makhadmeh"", ""type"": ""REFEREE"", ""nationality"": ""Jordan""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-15T16:00:00Z
825,Egypt,EGY,GROUP_G,805,Belgium,BEL,"[{""id"": 18754, ""name"": ""Ramon Abatti Abel"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",REGULAR,,,1,1,1,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-15T19:00:00Z
758,Uruguay,URU,GROUP_H,801,Saudi Arabia,KSA,"[{""id"": 11043, ""name"": ""Maurizio Mariani"", ""type"": ""REFEREE"", ""nationality"": ""Italy""}]",REGULAR,,,1,1,0,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-15T22:00:00Z
783,New Zealand,NZL,GROUP_G,840,Iran,IRN,"[{""id"": 56007, ""name"": ""César Ramos"", ""type"": ""REFEREE"", ""nationality"": ""Mexico""}]",REGULAR,,,2,2,1,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-16T01:00:00Z
804,Senegal,SEN,GROUP_I,773,France,FRA,"[{""id"": 55970, ""name"": ""Alireza Faghani"", ""type"": ""REFEREE"", ""nationality"": ""Iran""}]",REGULAR,,,1,3,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-16T19:00:00Z
8872,Norway,NOR,GROUP_I,8062,Iraq,IRQ,"[{""id"": 276648, ""name"": ""Pierre Atcho"", ""type"": ""REFEREE"", ""nationality"": ""Gabon""}]",REGULAR,,,4,1,2,1,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-16T22:00:00Z
778,Algeria,ALG,GROUP_J,762,Argentina,ARG,"[{""id"": 43888, ""name"": ""Szymon Marciniak"", ""type"": ""REFEREE"", ""nationality"": ""Poland""}]",REGULAR,,,0,3,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-17T01:00:00Z
8049,Jordan,JOR,GROUP_J,816,Austria,AUT,"[{""id"": 262323, ""name"": ""Dahane Beida"", ""type"": ""REFEREE"", ""nationality"": ""Mauritania""}]",REGULAR,,,1,3,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-17T04:00:00Z
1934,Congo DR,COD,GROUP_K,765,Portugal,POR,"[{""id"": 236084, ""name"": ""Abdulrahman Al Jassim"", ""type"": ""REFEREE"", ""nationality"": ""Qatar""}]",REGULAR,,,1,1,1,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-17T17:00:00Z
799,Croatia,CRO,GROUP_L,770,England,ENG,"[{""id"": 9374, ""name"": ""Clément Turpin"", ""type"": ""REFEREE"", ""nationality"": ""France""}]",REGULAR,,,2,4,2,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-17T20:00:00Z
1836,Panama,PAN,GROUP_L,763,Ghana,GHA,"[{""id"": 30960, ""name"": ""Glenn Nyberg"", ""type"": ""REFEREE"", ""nationality"": ""Sweden""}]",REGULAR,,,0,1,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-17T23:00:00Z
818,Colombia,COL,GROUP_K,8070,Uzbekistan,UZB,"[{""id"": 11580, ""name"": ""Anthony Taylor"", ""type"": ""REFEREE"", ""nationality"": ""England""}]",REGULAR,,,3,1,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-18T02:00:00Z
774,South Africa,RSA,GROUP_A,798,Czechia,CZE,"[{""id"": 212450, ""name"": ""Tori Penso"", ""type"": ""REFEREE"", ""nationality"": ""USA""}]",REGULAR,,,1,1,0,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-18T16:00:00Z
1060,Bosnia-Herzegovina,BIH,GROUP_B,788,Switzerland,SUI,"[{""id"": 38806, ""name"": ""João Pinheiro"", ""type"": ""REFEREE"", ""nationality"": ""Portugal""}]",REGULAR,,,1,4,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-18T19:00:00Z
8030,Qatar,QAT,GROUP_B,828,Canada,CAN,"[{""id"": 58065, ""name"": ""Cristián Garay"", ""type"": ""REFEREE"", ""nationality"": ""Chile""}]",REGULAR,,,0,6,0,3,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-18T22:00:00Z
772,South Korea,KOR,GROUP_A,769,Mexico,MEX,"[{""id"": 260120, ""name"": ""Gustavo Tejera"", ""type"": ""REFEREE"", ""nationality"": ""Uruguay""}]",REGULAR,,,0,1,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-19T01:00:00Z
779,Australia,AUS,GROUP_D,771,United States,USA,"[{""id"": 43878, ""name"": ""Felix Zwayer"", ""type"": ""REFEREE"", ""nationality"": ""Germany""}]",REGULAR,,,0,2,0,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-19T19:00:00Z
815,Morocco,MAR,GROUP_C,8873,Scotland,SCO,"[{""id"": 236055, ""name"": ""Il'giz Tantashev"", ""type"": ""REFEREE"", ""nationality"": ""Uzbekistan""}]",REGULAR,,,1,0,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-19T22:00:00Z
836,Haiti,HAI,GROUP_C,764,Brazil,BRA,"[{""id"": 206208, ""name"": ""Alejandro Hernández Hernández"", ""type"": ""REFEREE"", ""nationality"": ""Spain""}]",REGULAR,,,0,3,0,3,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-20T00:30:00Z
761,Paraguay,PAR,GROUP_D,803,Turkey,TUR,"[{""id"": 190010, ""name"": ""Ivan Barton"", ""type"": ""REFEREE"", ""nationality"": null}]",REGULAR,,,1,0,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-20T03:00:00Z
792,Sweden,SWE,GROUP_F,8601,Netherlands,NED,"[{""id"": 11605, ""name"": ""Michael Oliver"", ""type"": ""REFEREE"", ""nationality"": ""England""}]",REGULAR,,,1,5,0,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-20T17:00:00Z
1935,Ivory Coast,CIV,GROUP_E,759,Germany,GER,"[{""id"": 116383, ""name"": ""Juan Benítez"", ""type"": ""REFEREE"", ""nationality"": ""Paraguay""}]",REGULAR,,,1,2,1,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-20T20:00:00Z
9460,Curaçao,CUW,GROUP_E,791,Ecuador,ECU,"[{""id"": 176659, ""name"": ""Ning Ma"", ""type"": ""REFEREE"", ""nationality"": ""China PR""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-21T00:00:00Z
766,Japan,JPN,GROUP_F,802,Tunisia,TUN,"[{""id"": 37278, ""name"": ""István Kovács"", ""type"": ""REFEREE"", ""nationality"": ""Romania""}]",REGULAR,,,4,0,2,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-21T04:00:00Z
